Lab,lab_full_name,Field
BCI labs,Brain-Computer Interface Lab,"Artificial Intelligence, Signal Processing, Human-Computer Interaction"
CGV labs,Computer Graphics Visions Lab ,Computer Vision
Deep Learning Lab,HGU Deep Learning Lab,"Artificial Intelligence, Deep Learning"
HAIL,Hadnong Artificial Intelligence lab,"Artificial Intelligence, Machine Learning"
ISEL,Intelligence Software Engineering lab,"Software Engineering, Artificial Intelligence, Security"
Lab Insight,Lab Insight,"Backend Development, Artificial Intelligence"
MCNL,Mobile Computing and Networking Lab,"Computer Networks, Mobile Computing, Multimedia Systems"
MI Lab,Machine Intelligence Lab,"Aritificial Intelligence, Deep Learning"
MMIC Lab,Monolithic Microwave Integrated Circuit Lab,"Embedded Systems, Integrated Circuits, Wireless Communication"
Nano Seed Lab,Nano Seed Lab,"Embedded Systems, Sensor Technology, "
SIR Lab,Social and Interactive Robotics Lab,Robotics
SW Factory Lab,Software Factory Lab,"Software Engineering, Mobile Development, Game Development"
WALAB ,Web and App Lab,"Mobile Development, Web Development"
SmartCar Lab,SmartCar Lab,"Autonomous Systems, Computer Vision, Machine Learning"
ISL ,Intelligence System Lab,"Artificial Intelligence, Image Processing, Medical Imaging"
